Time,Ranger,Compass,MOTOR_PW,SERVO_PW
1,65535,0,2765,2765
2,65535,1800,2765,2765
3,65535,1800,2765,2765
4,500,1800,2765,2765
5,500,1800,2765,2765
6,500,1800,2765,2765
7,500,1800,2765,2765
8,500,1800,2765,2765
9,500,1800,2765,2765
10,500,1800,2765,2765
11,500,1800,2765,2765
12,500,1800,2765,2765
13,500,1800,2765,2765
14,500,1800,2765,2765
15,500,1800,2765,2765
16,500,1800,2765,2765
17,500,1800,2765,2765
18,500,1800,2765,2765
19,500,1800,2765,2765
20,500,1800,2765,2765
21,500,1800,2765,2765
22,500,1800,2765,2765
23,500,1800,2765,2765
24,500,1800,2765,2765
25,500,1800,2765,2765
26,500,1800,2765,2765
27,500,1800,2765,2765
28,500,1800,2765,2765
29,500,1800,2765,2765
30,500,1800,2765,2765
31,500,1800,2765,2765
32,500,1800,2765,2765
33,500,1800,2765,2765
34,500,1800,2765,2765
35,500,1800,2765,2765
36,500,1800,2765,2765
37,500,1800,2765,2765
38,500,1800,2765,2765
39,500,1800,2765,2765
40,500,1800,2765,2765
41,500,1800,2765,2765
42,500,1800,2765,2765
43,500,1800,2765,2765
44,500,1800,2765,2765
45,500,1800,2765,2765
46,500,1800,2765,2765
47,500,1800,2765,2765
48,500,1800,2765,2765
49,500,1800,2765,2765
50,500,1800,2765,2765
51,500,1800,2765,2765
52,500,1800,2765,2765
53,500,1800,2765,2765
54,500,1800,2765,2765
55,500,1800,2765,2765
56,500,1800,2765,2765
57,500,1800,2765,2765
58,500,1800,2765,2765
59,500,1800,2765,2765
60,500,1800,2765,2765
61,500,1800,2765,2765
62,500,1800,2765,2765
63,500,1800,2765,2765
64,500,1800,2765,2765
65,500,1800,2765,2765
66,500,1800,2765,2765
67,500,1800,2765,2765
68,500,1800,2765,2765
69,500,1800,2765,2765
70,500,1800,2765,2765
71,500,1800,2765,2765
72,500,1800,2765,2765
73,500,1800,2765,2765
74,500,1800,2765,2765
75,500,1800,2765,2765
76,500,1800,2765,2765
77,500,1800,2765,2765
78,500,1800,2765,2765
79,500,1800,2765,2765
80,500,1800,2765,2765
81,500,1800,2765,2765
82,500,1800,2765,2765
83,500,1800,2765,2765
84,500,1800,2765,2765
85,500,1800,2765,2765
86,500,1800,2765,2765
87,500,1800,2765,2765
