Time,Heading,Servo_PW
1,0,2765
2,1800,3871
3,1802,3871
4,1839,3871
5,1884,3871
6,1976,3871
7,2055,3871
8,2185,3871
9,2271,1659
10,2357,1659
11,2352,1659
12,2299,1659
13,2270,1659
14,2253,1659
15,2257,1659
16,2293,1659
17,2333,1659
18,2421,1659
19,2496,1659
20,2626,1659
21,2712,1659
22,2842,1659
23,2929,1659
24,3059,1683
25,3146,1857
26,3276,2117
27,3356,2277
28,3447,2459
29,3493,2551
30,3547,2659
31,3574,2713
32,5,2775
33,21,2807
34,40,2845
35,50,2865
36,61,2887
37,67,2899
38,74,2913
39,77,2919
40,81,2927
41,83,2931
42,85,2935
43,87,2939
44,88,2941
45,89,2943
46,90,2945
47,90,2945
48,91,2947
49,91,2947
50,91,2947
51,91,2947
52,92,2949
53,92,2949
54,92,2949
55,92,2949
56,92,2949
57,92,2949
58,92,2949
59,92,2949
60,92,2949
61,92,2949
62,92,2949
63,92,2949
64,92,2949
65,92,2949
66,92,2949
67,92,2949
68,92,2949
69,92,2949
70,92,2949
71,92,2949
72,92,2949
73,92,2949
74,92,2949
75,92,2949
76,92,2949
77,92,2949
78,92,2949
79,92,2949
80,92,2949
81,92,2949
82,92,2949
83,92,2949
84,92,2949
85,92,2949
86,92,2949
87,92,2949
88,92,2949
89,92,2949
90,92,2949
91,92,2949
92,1875,3871
93,1813,3871
94,1723,3871
95,1680,3871
96,1643,3871
97,1635,3871
98,1647,3871
99,1674,3871
100,1741,3871
101,1802,3871
102,1920,3871
103,2007,3871
104,2137,3871
105,2224,3871
106,2338,1659
107,2355,1659
108,2314,1659
109,2278,1659
110,2251,1659
111,2249,3871
112,2248,3871
113,2259,1659
114,2288,1659
115,2286,1659
116,2289,1659
117,2309,1659
118,2365,1659
119,2420,1659
120,2528,1659
121,2614,1659
122,2744,1659
123,2831,1659
124,2961,1659
125,3048,1661
126,3171,1907
127,3235,2035
128,3309,2183
129,3346,2257
130,3389,2343
131,3411,2387
132,3437,2439
133,3450,2465
134,3466,2497
135,3473,2511
136,3482,2529
137,3487,2539
138,3493,2551
139,3495,2555
140,3499,2563
141,3500,2565
142,3502,2569
143,3503,2571
144,3504,2573
145,3505,2575
146,3506,2577
147,3506,2577
148,3507,2579
149,3507,2579
150,3507,2579
151,3507,2579
152,3507,2579
153,3508,2581
154,3508,2581
155,3507,2579
156,3508,2581
157,3508,2581
158,3508,2581
159,3508,2581
160,3508,2581
161,3507,2579
162,3508,2581
163,3508,2581
164,3508,2581
165,3508,2581
166,3508,2581
167,3507,2579
168,3508,2581
169,3508,2581
170,3507,2579
171,3508,2581
172,3508,2581
173,3507,2579
174,3508,2581
175,3508,2581
176,3507,2579
177,3508,2581
178,3508,2581
179,3507,2579
180,3508,2581
181,3508,2581
182,3507,2579
183,3508,2581
184,3508,2581
185,3507,2579
186,3508,2581
187,3508,2581
188,3507,2579
189,3508,2581
190,3508,2581
191,3507,2579
192,807,3871
193,770,3871
194,644,3871
195,557,3871
196,427,3619
197,340,3445
198,223,3211
199,163,3091
200,94,2953
201,59,2883
202,19,2803
203,3598,2761
204,3574,2713
205,3562,2689
206,3547,2659
207,3540,2645
208,3531,2627
209,3527,2619
210,3522,2609
211,3519,2603
212,3516,2597
213,3515,2595
214,3513,2591
215,3512,2589
216,3511,2587
217,3510,2585
218,3510,2585
219,3509,2583
220,3509,2583
221,3509,2583
222,3508,2581
223,3508,2581
224,3508,2581
225,3508,2581
226,3508,2581
227,3508,2581
228,3508,2581
229,3508,2581
230,3508,2581
231,3508,2581
232,3508,2581
233,3508,2581
234,3508,2581
235,3508,2581
236,3507,2579
237,3508,2581
238,3508,2581
239,3508,2581
240,3508,2581
241,3508,2581
242,3507,2579
243,3508,2581
244,3508,2581
245,3508,2581
246,3508,2581
247,3508,2581
248,3508,2581
249,3507,2579
250,3508,2581
251,3508,2581
252,3508,2581
253,3508,2581
254,3508,2581
255,3507,2579
256,3508,2581
257,3508,2581
258,3508,2581
259,3508,2581
260,3508,2581
261,3507,2579
262,3508,2581
263,3508,2581
264,3507,2579
265,3508,2581
266,3508,2581
267,3507,2579
268,3508,2581
269,3508,2581
270,3507,2579
271,3508,2581
272,3508,2581
273,3507,2579
274,3508,2581
275,3508,2581
276,3507,2579
277,3508,2581
278,3508,2581
279,3507,2579
280,3508,2581
281,3508,2581
282,3507,2579
283,3508,2581
284,3508,2581
285,3507,2579
286,3508,2581
287,3508,2581
288,3507,2579
289,3508,2581
290,3508,2581
291,3507,2579
292,808,3871
293,795,3871
294,687,3871
295,600,3871
296,470,3705
297,383,3531
298,258,3281
299,191,3147
300,115,2995
301,76,2917
302,31,2827
303,8,2781
304,3581,2727
305,3568,2701
306,3552,2669
307,3544,2653
308,3534,2633
309,3529,2623
310,3523,2611
311,3521,2607
312,3517,2599
313,3515,2595
314,3513,2591
315,3512,2589
316,3511,2587
317,3511,2587
318,3510,2585
319,3509,2583
320,3509,2583
321,3509,2583
322,3508,2581
323,3508,2581
324,3508,2581
325,3508,2581
326,3508,2581
327,3508,2581
328,3508,2581
329,3508,2581
330,3508,2581
331,3508,2581
332,3508,2581
333,3508,2581
334,3508,2581
335,3508,2581
336,3508,2581
337,3507,2579
338,3508,2581
339,3508,2581
340,3508,2581
341,3508,2581
342,3508,2581
343,3507,2579
344,3508,2581
345,3508,2581
346,3508,2581
347,3508,2581
348,3508,2581
349,3507,2579
350,3508,2581
351,3508,2581
352,3507,2579
353,3508,2581
354,3508,2581
