Time,Heading,Servo_PW
1,0,2765
2,1800,3871
3,1801,3871
4,1835,3871
5,1877,3871
6,1967,3871
7,2044,3871
8,2174,3871
9,2261,1659
10,2354,1659
11,2355,1659
12,2303,1659
13,2273,1659
14,2253,1659
15,2256,1659
16,2288,1659
17,2328,1659
18,2412,1659
19,2486,1659
20,2615,1659
21,2702,1659
22,2832,1659
23,2918,1659
24,3048,1661
25,3135,1835
26,3265,2095
27,3349,2263
28,3444,2453
29,3492,2549
30,3547,2659
31,3575,2715
32,7,2779
33,23,2811
34,42,2849
35,52,2869
36,63,2891
37,68,2901
38,75,2915
39,78,2921
40,82,2929
41,84,2933
42,86,2937
43,87,2939
44,88,2941
45,89,2943
46,90,2945
47,90,2945
48,91,2947
49,91,2947
50,91,2947
51,92,2949
52,92,2949
53,92,2949
54,92,2949
55,92,2949
56,92,2949
57,92,2949
58,92,2949
59,92,2949
60,92,2949
61,92,2949
62,92,2949
63,92,2949
64,92,2949
65,92,2949
66,92,2949
67,92,2949
68,92,2949
69,92,2949
70,92,2949
71,92,2949
72,92,2949
73,92,2949
74,92,2949
75,92,2949
76,92,2949
77,92,2949
78,92,2949
79,92,2949
80,92,2949
81,92,2949
82,92,2949
83,92,2949
84,92,2949
85,92,2949
86,92,2949
87,92,2949
88,92,2949
89,92,2949
90,92,2949
91,92,2949
92,2775,1659
93,2772,1659
94,2866,1659
95,2953,1659
96,3083,1731
97,3166,1897
98,3261,2087
99,3309,2183
100,3364,2293
101,3391,2347
102,3423,2411
103,3439,2443
104,3458,2481
105,3467,2499
106,3478,2521
107,3484,2533
108,3491,2547
109,3494,2553
110,3498,2561
111,3500,2565
112,3502,2569
113,3503,2571
114,3504,2573
115,3505,2575
116,3506,2577
117,3506,2577
118,3507,2579
119,3507,2579
120,3507,2579
121,3507,2579
122,3507,2579
123,3507,2579
124,3508,2581
125,3508,2581
126,3507,2579
127,3508,2581
128,3508,2581
129,3508,2581
130,3508,2581
131,3508,2581
132,3507,2579
133,3508,2581
134,3508,2581
135,3508,2581
136,3508,2581
137,3508,2581
138,3507,2579
139,3508,2581
140,3508,2581
141,3508,2581
142,3508,2581
143,3508,2581
144,3508,2581
145,3507,2579
146,3508,2581
147,3508,2581
148,3508,2581
149,3508,2581
150,3508,2581
151,3507,2579
152,3508,2581
153,3508,2581
154,3507,2579
155,3508,2581
156,3508,2581
157,3507,2579
158,3508,2581
159,3508,2581
160,3507,2579
161,3508,2581
162,3508,2581
163,3507,2579
164,3508,2581
165,3508,2581
166,3507,2579
167,3508,2581
168,3508,2581
169,3507,2579
170,3508,2581
171,3508,2581
172,3507,2579
173,3508,2581
174,3508,2581
175,3507,2579
176,3508,2581
177,3508,2581
178,3507,2579
179,3508,2581
180,3508,2581
181,3507,2579
182,3508,2581
183,3508,2581
184,3507,2579
185,3508,2581
186,3508,2581
187,3507,2579
188,3508,2581
189,3508,2581
190,3507,2579
191,3508,2581
192,2608,1659
193,2638,1659
194,2760,1659
195,2847,1659
196,2977,1659
197,3064,1693
198,3186,1937
199,3249,2063
200,3321,2207
201,3357,2279
202,3398,2361
203,3419,2403
204,3443,2451
205,3455,2475
206,3470,2505
207,3477,2519
208,3485,2535
209,3490,2545
210,3494,2553
211,3497,2559
212,3500,2565
213,3501,2567
214,3503,2571
215,3504,2573
216,3505,2575
217,3506,2577
218,3506,2577
219,3506,2577
220,3507,2579
221,3507,2579
222,3507,2579
223,3507,2579
224,3507,2579
225,3508,2581
226,3508,2581
227,3507,2579
228,3508,2581
229,3508,2581
230,3507,2579
231,3508,2581
232,3508,2581
233,3508,2581
234,3508,2581
235,3508,2581
236,3507,2579
237,3508,2581
238,3508,2581
239,3508,2581
240,3508,2581
241,3508,2581
242,3508,2581
243,3507,2579
244,3508,2581
245,3508,2581
246,3508,2581
247,3508,2581
248,3508,2581
249,3507,2579
250,3508,2581
251,3508,2581
252,3508,2581
253,3508,2581
254,3508,2581
255,3507,2579
256,3508,2581
257,3508,2581
258,3507,2579
259,3508,2581
260,3508,2581
261,3507,2579
262,3508,2581
263,3508,2581
264,3507,2579
265,3508,2581
266,3508,2581
267,3507,2579
268,3508,2581
269,3508,2581
270,3507,2579
271,3508,2581
272,3508,2581
273,3507,2579
274,3508,2581
275,3508,2581
276,3507,2579
277,3508,2581
278,3508,2581
279,3507,2579
280,3508,2581
281,3508,2581
282,3507,2579
283,3508,2581
284,3508,2581
285,3507,2579
286,3508,2581
287,3508,2581
288,3507,2579
289,3508,2581
290,3508,2581
291,3507,2579
292,1708,3871
293,1700,3871
294,1622,3871
295,1570,3871
296,1520,3871
297,1503,3871
298,1503,3871
299,1521,3871
300,1574,3871
301,1627,3871
302,1732,3871
303,1818,3871
304,1948,3871
305,2035,3871
306,2165,3871
307,2251,1659
308,2345,1659
309,2345,1659
310,2294,1659
311,2263,1659
312,2244,3871
313,2238,3871
314,2247,3871
315,2288,1659
316,2319,1659
317,2313,1659
318,2305,1659
319,2315,1659
320,2358,1659
321,2404,1659
322,2499,1659
323,2579,1659
324,2710,1659
325,2796,1659
326,2926,1659
327,3013,1659
328,3142,1849
329,3214,1993
330,3296,2157
331,3337,2239
332,3383,2331
333,3407,2379
334,3435,2435
335,3449,2463
336,3465,2495
337,3473,2511
338,3482,2529
339,3487,2539
340,3493,2551
341,3496,2557
342,3499,2563
343,3501,2567
344,3503,2571
345,3504,2573
346,3505,2575
347,3505,2575
348,3506,2577
349,3506,2577
350,3507,2579
351,3507,2579
352,3507,2579
