Time, Error,Error_sum
1,0,0
2,-1800,-3600
3,1795,-3605
4,1755,1707
5,1711,5153
6,1618,10107
7,1540,13228
8,1410,17587
9,1323,20276
10,1238,24047
11,1242,26524
12,1296,30352
13,1324,32988
14,1341,37001
15,1337,39679
16,1302,43627
17,1261,46171
18,1174,49786
19,1098,52022
20,969,55058
21,882,56865
22,752,59251
23,665,60625
24,535,62361
25,452,63305
26,354,64457
27,305,65090
28,248,65886
29,219,66337
30,185,66923
31,168,67267
32,148,67729
33,137,68008
34,125,68395
35,119,68636
36,112,68979
37,108,69197
38,104,69513
39,102,69718
40,99,70018
41,98,70215
42,97,70506
43,96,70698
44,95,70983
45,94,71172
46,94,71454
47,93,71641
48,93,71920
49,93,72106
50,93,72385
51,93,72571
52,93,72850
53,92,73034
54,93,73311
55,92,73496
56,92,73772
57,92,73956
58,92,74234
59,92,74418
60,93,74695
61,92,74880
62,92,75156
63,92,75340
64,92,75618
65,92,75802
66,92,76078
67,93,76264
68,92,76540
69,92,76724
70,92,77002
71,92,77186
72,92,77462
73,93,77648
74,92,77924
75,92,78108
76,92,78386
77,92,78570
78,92,78846
79,93,79032
80,92,79308
81,92,79492
82,93,79770
83,92,79954
84,92,80230
85,93,80416
86,92,80692
87,92,80876
88,93,81154
89,92,81338
90,92,81614
91,93,81799
92,-807,80277
93,-770,78712
94,-644,76650
95,-557,75492
96,-427,74081
97,-340,73357
98,-223,72578
99,-163,72224
100,-94,71877
101,-59,71742
102,-19,71648
103,2,71642
104,26,71698
105,38,71768
106,52,71911
107,60,72027
108,69,72225
109,73,72369
110,78,72599
111,81,72759
112,84,73008
113,85,73178
114,87,73438
115,88,73614
116,89,73880
117,90,74059
118,90,74329
119,91,74511
120,91,74784
121,91,74966
122,92,75241
123,92,75425
124,92,75701
125,92,75885
126,92,76161
127,92,76345
128,92,76621
129,92,76805
130,92,77081
131,92,77265
132,92,77541
133,92,77725
134,92,78001
135,92,78185
136,93,78462
137,92,78647
138,92,78923
139,93,79108
140,92,79385
141,92,79569
142,93,79846
143,92,80031
144,92,80307
145,92,80491
146,92,80769
147,92,80953
148,93,81230
149,92,81415
150,92,81691
151,92,81875
152,92,82153
153,92,82337
154,92,82613
155,93,82799
156,92,83075
157,92,83259
158,92,83537
159,92,83721
160,92,83997
161,93,84183
162,92,84459
163,92,84643
164,92,84921
165,92,85105
166,92,85381
167,93,85567
168,92,85843
169,92,86027
170,93,86305
171,92,86489
172,92,86765
173,93,86951
174,92,87227
175,92,87411
176,93,87689
177,92,87873
178,92,88149
179,93,88335
180,92,88611
181,92,88795
182,93,89073
183,92,89257
184,92,89533
185,93,89718
186,92,89995
187,92,90179
188,93,90457
189,92,90641
190,92,90917
191,93,91102
192,-818,89569
193,-809,87940
194,-701,85712
195,-614,84441
196,-485,82858
197,-409,82004
198,-323,80955
199,-280,80375
200,-230,79639
201,-204,79219
202,-174,78669
203,-159,78344
204,-141,77904
205,-132,77636
206,-121,77262
207,-116,77027
208,-110,76691
209,-106,76477
210,-102,76166
211,-101,75964
212,-98,75667
213,-97,75472
214,-96,75183
215,-95,74993
216,-94,74709
217,-94,74521
218,-93,74241
219,-93,74055
220,-93,73776
221,-93,73590
222,-92,73312
223,-92,73128
224,-92,72852
225,-92,72668
226,-92,72392
227,-92,72208
228,-92,71931
229,-92,71747
230,-92,71471
231,-92,71287
232,-92,71011
233,-92,70827
234,-93,70550
235,-92,70366
236,-92,70090
237,-92,69906
238,-92,69630
239,-92,69446
240,-92,69170
241,-92,68985
242,-92,68709
243,-92,68525
244,-92,68249
245,-92,68065
246,-92,67789
247,-93,67604
248,-92,67328
249,-92,67144
250,-92,66868
251,-92,66684
252,-92,66408
253,-92,66224
254,-92,65947
255,-92,65763
256,-92,65487
257,-92,65303
258,-92,65027
259,-92,64843
260,-92,64566
261,-92,64382
262,-92,64106
263,-92,63922
264,-92,63646
265,-92,63462
266,-93,63185
267,-92,63001
268,-92,62725
269,-92,62541
270,-92,62265
271,-92,62081
272,-92,61805
273,-92,61620
274,-92,61344
275,-92,61160
276,-92,60884
277,-92,60700
278,-92,60424
279,-93,60239
280,-92,59963
281,-92,59779
282,-92,59503
283,-92,59319
284,-92,59043
285,-92,58859
286,-92,58582
287,-92,58398
288,-92,58122
289,-92,57938
290,-92,57662
291,-92,57478
292,-984,56309
293,-937,54406
294,-809,51848
295,-722,50360
296,-592,48453
297,-506,47398
298,-376,46141
299,-290,45519
300,-186,44866
301,-133,44575
302,-73,44300
303,-42,44202
304,-6,44150
305,12,44166
306,34,44247
307,45,44331
308,57,44490
309,64,44615
310,71,44822
311,75,44970
312,80,45205
313,82,45368
314,85,45620
315,86,45792
316,88,46054
317,89,46231
318,90,46499
319,90,46679
320,91,46950
321,91,47132
322,91,47405
323,92,47588
324,92,47864
325,92,48048
326,92,48324
327,92,48508
328,92,48784
329,92,48968
330,92,49244
331,92,49428
332,92,49704
333,92,49888
334,92,50164
335,92,50348
336,92,50624
337,92,50808
338,93,51085
339,92,51270
340,92,51546
341,93,51731
342,92,52008
343,92,52192
344,93,52469
345,92,52654
346,92,52930
347,92,53114
348,92,53392
349,92,53576
350,93,53853
351,92,54038
352,92,54314
353,92,54498
354,92,54776
355,92,54960
356,93,55237
357,92,55422
358,92,55698
359,92,55882
