Time,Heading,Servo_PW
1,0,2765
2,1800,3871
3,1802,3871
4,1839,3871
5,1884,3871
6,1976,3871
7,2055,3871
8,2185,3871
9,2271,1659
10,2357,1659
11,2352,1659
12,2299,1659
13,2270,1659
14,2253,1659
15,2257,1659
16,2293,1659
17,2333,1659
18,2421,1659
19,2496,1659
20,2626,1659
21,2712,1659
22,2842,1659
23,2929,1659
24,3059,1683
25,3146,1857
26,3276,2117
27,3356,2277
28,3447,2459
29,3493,2551
30,3547,2659
31,3574,2713
32,5,2775
33,21,2807
34,40,2845
35,50,2865
36,61,2887
37,67,2899
38,74,2913
39,77,2919
40,81,2927
41,83,2931
42,85,2935
43,87,2939
44,88,2941
45,89,2943
46,90,2945
47,90,2945
48,91,2947
49,91,2947
50,91,2947
51,91,2947
52,92,2949
53,92,2949
54,92,2949
55,92,2949
56,92,2949
57,92,2949
58,92,2949
59,92,2949
60,92,2949
61,92,2949
62,92,2949
63,92,2949
64,92,2949
65,92,2949
66,92,2949
67,92,2949
68,92,2949
69,92,2949
70,92,2949
71,92,2949
72,92,2949
73,92,2949
74,92,2949
75,92,2949
76,92,2949
77,92,2949
78,92,2949
79,92,2949
80,92,2949
81,92,2949
82,92,2949
83,92,2949
84,92,2949
85,92,2949
86,92,2949
87,92,2949
88,92,2949
89,92,2949
90,92,2949
91,92,2949
92,1891,3871
93,1859,3871
94,1773,3871
95,1730,3871
96,1692,3871
97,1685,3871
98,1697,3871
99,1724,3871
100,1790,3871
101,1852,3871
102,1970,3871
103,2057,3871
104,2187,3871
105,2273,1659
106,2358,1659
107,2354,1659
108,2301,1659
109,2272,1659
110,2255,1659
111,2259,1659
112,2294,1659
113,2335,1659
114,2423,1659
115,2498,1659
116,2628,1659
117,2714,1659
118,2844,1659
119,2931,1659
120,3061,1687
121,3148,1861
122,3278,2121
123,3358,2281
124,3448,2461
125,3494,2553
126,3547,2659
127,3574,2713
128,6,2777
129,22,2809
130,40,2845
131,50,2865
132,61,2887
133,67,2899
134,74,2913
135,77,2919
136,81,2927
137,83,2931
138,85,2935
139,87,2939
140,88,2941
141,89,2943
142,90,2945
143,90,2945
144,91,2947
145,91,2947
146,91,2947
147,91,2947
148,92,2949
149,92,2949
150,92,2949
151,92,2949
152,92,2949
153,92,2949
154,92,2949
155,92,2949
156,92,2949
157,92,2949
158,92,2949
159,92,2949
160,92,2949
161,92,2949
162,92,2949
163,92,2949
164,92,2949
165,92,2949
166,92,2949
167,92,2949
168,92,2949
169,92,2949
170,92,2949
171,92,2949
172,92,2949
173,92,2949
174,92,2949
175,92,2949
176,92,2949
177,92,2949
178,92,2949
179,92,2949
180,92,2949
181,92,2949
182,92,2949
183,92,2949
184,92,2949
185,92,2949
186,92,2949
187,92,2949
188,92,2949
189,92,2949
190,92,2949
191,92,2949
192,991,3871
193,954,3871
194,828,3871
195,742,3871
196,612,3871
197,525,3815
198,407,3579
199,347,3459
200,279,3323
201,244,3253
202,203,3171
203,183,3131
204,159,3083
205,146,3057
206,132,3029
207,124,3013
208,116,2997
209,111,2987
210,106,2977
211,104,2973
212,101,2967
213,99,2963
214,97,2959
215,96,2957
216,95,2955
217,95,2955
218,94,2953
219,94,2953
220,93,2951
221,93,2951
222,93,2951
223,93,2951
224,92,2949
225,92,2949
226,92,2949
227,92,2949
228,92,2949
229,92,2949
230,92,2949
231,92,2949
232,92,2949
233,92,2949
234,93,2951
235,92,2949
236,92,2949
237,92,2949
238,92,2949
239,92,2949
240,92,2949
241,92,2949
242,92,2949
243,92,2949
244,92,2949
245,92,2949
246,92,2949
247,93,2951
248,92,2949
249,92,2949
250,92,2949
251,92,2949
252,92,2949
253,92,2949
254,92,2949
255,92,2949
256,92,2949
257,92,2949
258,92,2949
259,92,2949
260,92,2949
261,92,2949
262,92,2949
263,92,2949
264,92,2949
265,92,2949
266,93,2951
267,92,2949
268,92,2949
269,92,2949
270,92,2949
271,92,2949
272,92,2949
273,92,2949
274,92,2949
275,92,2949
276,92,2949
277,92,2949
278,92,2949
279,93,2951
280,92,2949
281,92,2949
282,92,2949
283,92,2949
284,92,2949
285,92,2949
286,92,2949
287,92,2949
288,92,2949
289,92,2949
290,92,2949
291,92,2949
292,2784,1659
293,2763,1659
294,2829,1659
295,2916,1659
296,3046,1659
297,3132,1829
298,3234,2033
299,3286,2137
300,3345,2255
301,3376,2317
302,3411,2387
303,3429,2423
304,3450,2465
305,3461,2487
306,3473,2511
307,3480,2525
308,3487,2539
309,3491,2547
310,3495,2555
311,3498,2561
312,3500,2565
313,3502,2569
314,3503,2571
315,3504,2573
316,3505,2575
317,3506,2577
318,3506,2577
319,3506,2577
320,3507,2579
321,3507,2579
322,3507,2579
323,3507,2579
324,3507,2579
325,3508,2581
326,3507,2579
327,3508,2581
328,3508,2581
329,3507,2579
330,3508,2581
331,3508,2581
332,3507,2579
333,3508,2581
334,3508,2581
335,3507,2579
336,3508,2581
337,3508,2581
338,3507,2579
339,3508,2581
340,3508,2581
341,3508,2581
342,3508,2581
343,3508,2581
344,3507,2579
345,3508,2581
346,3508,2581
347,3508,2581
348,3508,2581
349,3508,2581
350,3507,2579
351,3508,2581
352,3508,2581
353,3508,2581
354,3508,2581
355,3508,2581
356,3508,2581
357,3507,2579
358,3508,2581
359,3508,2581
360,3508,2581
361,3508,2581
362,3508,2581
363,3507,2579
364,3508,2581
365,3508,2581
366,3507,2579
367,3508,2581
368,3508,2581
369,3507,2579
370,3508,2581
371,3508,2581
372,3507,2579
