Time,Desired Heading,Heading,1FAN_PW
1,1800,0,3502,4199705
2,1800,0,3502,4199705
3,1800,0,3502,4199705
4,1800,0,3502,4199705
5,1800,1,3502,4199705
6,1800,3,3502,4199705
7,1800,6,3502,4199705
8,1800,11,3502,4199705
9,1800,17,3502,4199705
10,1800,26,3502,4199705
11,1800,36,3502,4199705
12,1800,50,3502,4199705
13,1800,66,3502,4199705
14,1800,86,3502,4199705
15,1800,108,3502,4199705
16,1800,132,3502,4199705
17,1800,160,3502,4199705
18,1800,191,3502,4199705
19,1800,226,3502,4199705
20,1800,263,3502,4199705
21,1800,304,3502,4199705
22,1800,349,3502,4199705
23,1800,397,3448,4199705
24,1800,449,3336,4199705
25,1800,504,3236,4199705
26,1800,562,3133,4199705
27,1800,623,3027,4199705
28,1800,685,2950,4199705
29,1800,750,2840,4199705
30,1800,816,2759,4199705
31,1800,883,2677,4199705
32,1800,950,2610,4199705
33,1800,1018,2527,4199705
34,1800,1086,2459,4199705
35,1800,1154,2391,4199705
36,1800,1222,2323,4199705
37,1800,1290,2255,4199705
38,1800,1358,2187,4199705
39,1800,1425,2135,4199705
40,1800,1493,2052,4199705
41,1800,1561,2028,4199705
42,1800,1628,2028,4199705
43,1800,1696,2028,4199705
44,1800,1764,2028,4199705
45,1800,1831,2028,4199705
46,1800,1898,2028,4199705
47,1800,1965,2028,4199705
48,1800,2031,2028,4199705
49,1800,2096,2028,4199705
50,1800,2159,2028,4199705
51,1800,2220,2028,4199705
52,1800,2278,2028,4199705
53,1800,2334,2028,4199705
54,1800,2387,2028,4199705
55,1800,2437,2028,4199705
56,1800,2484,2028,4199705
57,1800,2528,2028,4199705
58,1800,2569,2028,4199705
59,1800,2608,2028,4199705
60,1800,2644,2028,4199705
61,1800,2676,2028,4199705
62,1800,2706,2028,4199705
63,1800,2733,2028,4199705
64,1800,2758,2028,4199705
65,1800,2779,2028,4199705
66,1800,2797,2028,4199705
67,1800,2813,2028,4199705
68,1800,2826,2028,4199705
69,1800,2835,2028,4199705
70,1800,2842,2028,4199705
71,1800,2846,2028,4199705
72,1800,2848,2028,4199705
73,1800,2847,2028,4199705
74,1800,2843,2028,4199705
75,1800,2836,2028,4199705
76,1800,2827,2028,4199705
77,1800,2815,2028,4199705
78,1800,2800,2028,4199705
79,1800,2782,2053,4199705
80,1800,2761,2119,4199705
81,1800,2738,2172,4199705
82,1800,2712,2243,4199705
83,1800,2684,2301,4199705
84,1800,2655,2345,4199705
85,1800,2623,2422,4199705
86,1800,2590,2470,4199705
87,1800,2557,2503,4199705
88,1800,2522,2568,4199705
89,1800,2486,2619,4199705
90,1800,2451,2639,4199705
91,1800,2414,2706,4199705
92,1800,2378,2727,4199705
93,1800,2341,2779,4199705
94,1800,2304,2816,4199705
95,1800,2268,2837,4199705
96,1800,2231,2889,4199705
97,1800,2194,2926,4199705
98,1800,2158,2947,4199705
99,1800,2121,2999,4199705
100,1800,2085,3020,4199705
101,1800,2049,3056,4199705
102,1800,2012,3108,4199705
103,1800,1976,3129,4199705
104,1800,1939,3181,4199705
105,1800,1903,3202,4199705
106,1800,1867,3238,4199705
107,1800,1831,3274,4199705
108,1800,1795,3310,4199705
109,1800,1760,3330,4199705
110,1800,1726,3349,4199705
111,1800,1693,3367,4199705
112,1800,1662,3368,4199705
113,1800,1634,3351,4199705
114,1800,1608,3347,4199705
115,1800,1584,3341,4199705
116,1800,1563,3317,4199705
117,1800,1545,3290,4199705
118,1800,1529,3276,4199705
119,1800,1515,3260,4199705
120,1800,1503,3242,4199705
121,1800,1494,3206,4199705
122,1800,1486,3199,4199705
123,1800,1480,3175,4199705
124,1800,1476,3149,4199705
125,1800,1473,3137,4199705
126,1800,1472,3108,4199705
127,1800,1473,3077,4199705
128,1800,1474,3076,4199705
129,1800,1476,3059,4199705
130,1800,1480,3025,4199705
131,1800,1484,3021,4199705
132,1800,1489,3001,4199705
133,1800,1495,2980,4199705
134,1800,1502,2958,4199705
135,1800,1509,2951,4199705
136,1800,1517,2928,4199705
137,1800,1526,2904,4199705
138,1800,1535,2895,4199705
139,1800,1544,2886,4199705
140,1800,1553,2877,4199705
141,1800,1563,2852,4199705
142,1800,1573,2842,4199705
143,1800,1584,2816,4199705
144,1800,1594,2821,4199705
145,1800,1605,2795,4199705
146,1800,1616,2784,4199705
147,1800,1626,2789,4199705
148,1800,1637,2763,4199705
149,1800,1648,2752,4199705
150,1800,1659,2741,4199705
151,1800,1670,2730,4199705
152,1800,1680,2735,4199705
153,1800,1691,2709,4199705
154,1800,1701,2714,4199705
155,1800,1712,2688,4199705
156,1800,1723,2677,4199705
157,1800,1733,2682,4199705
158,1800,1743,2672,4199705
159,1800,1754,2646,4199705
160,1800,1764,2651,4199705
161,1800,1774,2641,4199705
162,1800,1785,2615,4199705
163,1800,1795,2620,4199705
164,1800,1804,2626,4199705
165,1800,1814,2601,4199705
166,1800,1823,2607,4199705
167,1800,1831,2614,4199705
168,1800,1839,2606,4199705
169,1800,1847,2598,4199705
170,1800,1855,2590,4199705
171,1800,1861,2614,4199705
172,1800,1868,2592,4199705
173,1800,1874,2601,4199705
174,1800,1880,2595,4199705
175,1800,1885,2605,4199705
176,1800,1890,2600,4199705
177,1800,1894,2611,4199705
178,1800,1898,2607,4199705
179,1800,1902,2603,4199705
180,1800,1905,2615,4199705
181,1800,1908,2612,4199705
182,1800,1910,2625,4199705
183,1800,1912,2623,4199705
184,1800,1914,2621,4199705
185,1800,1915,2635,4199705
186,1800,1916,2634,4199705
187,1800,1917,2633,4199705
188,1800,1917,2648,4199705
189,1800,1917,2648,4199705
190,1800,1917,2648,4199705
191,1800,1916,2664,4199705
192,1800,1915,2665,4199705
193,1800,1915,2650,4199705
194,1800,1914,2666,4199705
195,1800,1912,2683,4199705
196,1800,1911,2669,4199705
197,1800,1909,2686,4199705
198,1800,1908,2672,4199705
199,1800,1906,2689,4199705
200,1800,1904,2691,4199705
201,1800,1902,2693,4199705
202,1800,1900,2695,4199705
203,1800,1898,2697,4199705
204,1800,1895,2715,4199705
205,1800,1893,2702,4199705
206,1800,1890,2720,4199705
207,1800,1887,2723,4199705
208,1800,1885,2710,4199705
209,1800,1882,2728,4199705
210,1800,1879,2731,4199705
211,1800,1876,2734,4199705
212,1800,1874,2721,4199705
213,1800,1871,2739,4199705
214,1800,1868,2742,4199705
215,1800,1865,2745,4199705
216,1800,1862,2748,4199705
217,1800,1859,2751,4199705
218,1800,1856,2754,4199705
219,1800,1853,2757,4199705
220,1800,1850,2760,4199705
221,1800,1847,2763,4199705
222,1800,1845,2750,4199705
223,1800,1842,2768,4199705
